Date,Bitcoin Trends,Historical Price (USD)
2017-04-09,5,1204.34
2017-04-16,5,1176.8
2017-04-23,5,1249.14
2017-04-30,7,1351.91
2017-05-07,10,1554.45
2017-05-14,12,1772.55
2017-05-21,20,2044.19
2017-05-28,12,2189.02
2017-06-04,12,2524.06
2017-06-11,13,2973.45
2017-06-18,11,2539.56
2017-06-25,11,2541.62
2017-07-02,9,2536.46
2017-07-09,10,2511.43
2017-07-16,12,1914.09
2017-07-23,11,2756.61
2017-07-30,15,2766.49
2017-08-06,14,3232.03
2017-08-13,21,4062.6
2017-08-20,16,4066.6
2017-08-27,17,4345.75
2017-09-03,19,4612.92
2017-09-10,21,4245.89
2017-09-17,16,3689.61
2017-09-24,13,3667.52
2017-10-01,13,4403.09
2017-10-08,19,4611.7
2017-10-15,20,5688.14
2017-10-22,21,5982.86
2017-10-29,28,6147.52
2017-11-05,30,7389.55
2017-11-12,32,5878.13
2017-11-19,28,8042.64
2017-11-26,66,9318.42
2017-12-03,94,11246.21
2017-12-10,88,15059.6
2017-12-17,100,19065.71
2017-12-24,66,13789.95
2017-12-31,49,13850.4
2018-01-07,46,16228.16
2018-01-14,57,13638.63
2018-01-21,39,11549.93
2018-01-28,41,11767.74
2018-02-04,49,8218.05
2018-02-11,28,8084.61
2018-02-18,24,10417.23
2018-02-25,19,9610.11
2018-03-04,20,11504.42
2018-03-11,19,9544.84
2018-03-18,18,8215.4
2018-03-25,18,8472.84
2018-04-01,18,6835.84
